co_barcode_cluster_id,gene_id,count
A4GALT,A4GALT,2007
ABCD1P4,ABCD1P4,5
ABHD17AP4,ABHD17AP4,229
ABHD17AP5,ABHD17AP5,781
ACO2,ACO2,18469
ACO2P1,ACO2P1,57
ACR,ACR,51
ACTBP15,ACTBP15,2394
ACTR2P1,ACTR2P1,345
ACTR3BP7,ACTR3BP7,2
ADA2,ADA2,35067
ADAMTS7P5,ADAMTS7P5,20
ADM2,ADM2,379
ADORA2A,ADORA2A,436
ADORA2A-AS1,ADORA2A-AS1,53
ADSL,ADSL,867
AIFM3,AIFM3,379
ALG12,ALG12,3155
ANKRD54,ANKRD54,2806
ANKRD62P1,ANKRD62P1,5
ANKRD62P1-PARP4P3,ANKRD62P1-PARP4P3,5
ANP32BP2,ANP32BP2,6
AP1B1,AP1B1,20885
AP1B1P1,AP1B1P1,16
APOBEC3A,APOBEC3A,81291
APOBEC3B,APOBEC3B,5344
APOBEC3B-AS1,APOBEC3B-AS1,20
APOBEC3C,APOBEC3C,161305
APOBEC3D,APOBEC3D,912
APOBEC3F,APOBEC3F,7922
APOBEC3G,APOBEC3G,53278
APOBEC3H,APOBEC3H,3273
APOL1,APOL1,10640
APOL2,APOL2,36410
APOL3,APOL3,26913
APOL4,APOL4,782
APOL5,APOL5,3
APOL6,APOL6,33922
ARFGAP3,ARFGAP3,22477
ARHGAP42P3,ARHGAP42P3,1
ARHGAP8,ARHGAP8,76
ARL5AP4,ARL5AP4,298
ARSA,ARSA,23597
ARVCF,ARVCF,617
ASCC2,ASCC2,24254
ASH2LP1,ASH2LP1,232
ASH2LP2,ASH2LP2,29
ASH2LP3,ASH2LP3,17
ASH2LP4,ASH2LP4,13
ASLP1,ASLP1,84
ASPHD2,ASPHD2,11809
ATF4,ATF4,25073
ATP5MGL,ATP5MGL,509
ATP5PFP2,ATP5PFP2,157
ATP6V1E1,ATP6V1E1,73071
ATXN10,ATXN10,17874
BAIAP2L2,BAIAP2L2,203
BBLNP2,BBLNP2,21
BCL2L13,BCL2L13,14408
BCR,BCR,4291
BCRP1,BCRP1,2
BCRP3,BCRP3,27
BCRP4,BCRP4,11
BCRP6,BCRP6,1
BCRP8,BCRP8,18
BID,BID,142688
BIK,BIK,4623
BMP6P1,BMP6P1,3
BMS1P20,BMS1P20,113
BPIFC,BPIFC,29
BRD1,BRD1,5678
C1QTNF6,C1QTNF6,623
C22orf15,C22orf15,78
C22orf23,C22orf23,34
C22orf31,C22orf31,9
C22orf39,C22orf39,14712
C22orf42,C22orf42,28
C22orf46P,C22orf46P,620
CA15P1,CA15P1,8
CA15P2,CA15P2,10
CABIN1,CABIN1,16257
CABP7,CABP7,213
CABP7-DT,CABP7-DT,16
CACNA1I,CACNA1I,592
CACNG2,CACNG2,98
CACNG2-DT,CACNG2-DT,32
CARD10,CARD10,208
CASTOR1,CASTOR1,602
CBX6,CBX6,44232
CBX7,CBX7,7376
CBY1,CBY1,2245
CCDC116,CCDC116,49
CCDC117,CCDC117,19111
CCDC134,CCDC134,2469
CCDC157,CCDC157,553
CCDC188,CCDC188,38
CCDC188BP,CCDC188BP,4
CCDC74BP1,CCDC74BP1,3
CCT8L2,CCT8L2,16
CDC42EP1,CDC42EP1,1203
CDC45,CDC45,4226
CDPF1,CDPF1,8605
CECR2,CECR2,174
CECR3,CECR3,23
CECR9,CECR9,1
CELSR1,CELSR1,599
CENPM,CENPM,13734
CERK,CERK,7153
CES5AP1,CES5AP1,2
CHADL,CHADL,377
CHCHD10,CHCHD10,18874
CHEK2,CHEK2,7798
CHKB,CHKB,184
CHKB-DT,CHKB-DT,714
CIMAP1B,CIMAP1B,17175
CIMIP4,CIMIP4,21
CLCP1,CLCP1,4
CLDN5,CLDN5,6725
CLTCL1,CLTCL1,545
CNN2P1,CNN2P1,79
COA1P1,COA1P1,14
COMT,COMT,55402
COX6B1P3,COX6B1P3,15
CPMER,CPMER,5
CPT1B,CPT1B,92
CRELD2,CRELD2,17576
CRIP1P4,CRIP1P4,92
CRKL,CRKL,45620
CRYBA4,CRYBA4,19
CRYBB1,CRYBB1,261
CRYBB2,CRYBB2,22
CRYBB2P1,CRYBB2P1,3235
CRYBB3,CRYBB3,24
CSDC2,CSDC2,37
CSF2RB,CSF2RB,93659
CSF2RBP1,CSF2RBP1,24
CSNK1E,CSNK1E,3406
CYB5R3,CYB5R3,85378
CYP2D6,CYP2D6,33
CYP2D7,CYP2D7,110
CYP2D8P,CYP2D8P,12
CYTH4,CYTH4,55230
DDT,DDT,77
DDTL,DDTL,2
DDX17,DDX17,30002
DENND6B,DENND6B,2733
DEPDC5,DEPDC5,1540
DERL3,DERL3,1889
DESI1,DESI1,10740
DGCR11,DGCR11,410
DGCR2,DGCR2,25238
DGCR5,DGCR5,446
DGCR6,DGCR6,87
DGCR6L,DGCR6L,30091
DGCR8,DGCR8,1999
DMC1,DMC1,452
DNAJA1P6,DNAJA1P6,2
DNAJB7,DNAJB7,28
DNAL4,DNAL4,3687
DRG1,DRG1,43191
DRICH1,DRICH1,16
DUSP18,DUSP18,5156
DUXAP8,DUXAP8,142
E2F6P1,E2F6P1,17
E2F6P2,E2F6P2,14
E2F6P3,E2F6P3,22
EFCAB6,EFCAB6,62
EFCAB6-AS1,EFCAB6-AS1,11
EFCAB6-DT,EFCAB6-DT,123
EIF3D,EIF3D,61716
EIF3L,EIF3L,58292
EIF4ENIF1,EIF4ENIF1,5618
ELFN2,ELFN2,377
EMID1,EMID1,3935
ENSG00000093100,ENSG00000093100,33
ENSG00000181123,ENSG00000181123,13
ENSG00000188078,ENSG00000188078,33
ENSG00000197210,ENSG00000197210,2
ENSG00000206028,ENSG00000206028,3
ENSG00000206090,ENSG00000206090,70
ENSG00000207751,ENSG00000207751,161
ENSG00000212939,ENSG00000212939,42
ENSG00000213279,ENSG00000213279,37
ENSG00000213752,ENSG00000213752,21
ENSG00000220702,ENSG00000220702,8
ENSG00000222044,ENSG00000222044,17
ENSG00000223461,ENSG00000223461,504
ENSG00000223679,ENSG00000223679,2
ENSG00000223726,ENSG00000223726,16
ENSG00000223881,ENSG00000223881,12
ENSG00000223999,ENSG00000223999,7
ENSG00000224027,ENSG00000224027,18
ENSG00000224277,ENSG00000224277,4
ENSG00000224404,ENSG00000224404,19
ENSG00000224715,ENSG00000224715,39
ENSG00000224794,ENSG00000224794,34
ENSG00000224883,ENSG00000224883,4
ENSG00000225007,ENSG00000225007,7
ENSG00000225172,ENSG00000225172,4
ENSG00000225335,ENSG00000225335,249
ENSG00000225450,ENSG00000225450,19
ENSG00000225676,ENSG00000225676,7
ENSG00000225741,ENSG00000225741,12
ENSG00000225867,ENSG00000225867,2
ENSG00000225929,ENSG00000225929,11
ENSG00000226160,ENSG00000226160,14
ENSG00000226169,ENSG00000226169,7
ENSG00000226471,ENSG00000226471,1744
ENSG00000226477,ENSG00000226477,1
ENSG00000226595,ENSG00000226595,2
ENSG00000226772,ENSG00000226772,21
ENSG00000226872,ENSG00000226872,2
ENSG00000226954,ENSG00000226954,44
ENSG00000227370,ENSG00000227370,6
ENSG00000227413,ENSG00000227413,5
ENSG00000227484,ENSG00000227484,21
ENSG00000227519,ENSG00000227519,3
ENSG00000227710,ENSG00000227710,5
ENSG00000227747,ENSG00000227747,101
ENSG00000227755,ENSG00000227755,1
ENSG00000227813,ENSG00000227813,38
ENSG00000228161,ENSG00000228161,2
ENSG00000228587,ENSG00000228587,1
ENSG00000228620,ENSG00000228620,6
ENSG00000228622,ENSG00000228622,2
ENSG00000228719,ENSG00000228719,273
ENSG00000228923,ENSG00000228923,6
ENSG00000229275,ENSG00000229275,16
ENSG00000229770,ENSG00000229770,13
ENSG00000229955,ENSG00000229955,3
ENSG00000229971,ENSG00000229971,1
ENSG00000230051,ENSG00000230051,11
ENSG00000230107,ENSG00000230107,523
ENSG00000230120,ENSG00000230120,1
ENSG00000230149,ENSG00000230149,11
ENSG00000230471,ENSG00000230471,7
ENSG00000230485,ENSG00000230485,10
ENSG00000230637,ENSG00000230637,4
ENSG00000230736,ENSG00000230736,7
ENSG00000230912,ENSG00000230912,7
ENSG00000230922,ENSG00000230922,29
ENSG00000231010,ENSG00000231010,57
ENSG00000231271,ENSG00000231271,130
ENSG00000231392,ENSG00000231392,30
ENSG00000231405,ENSG00000231405,5
ENSG00000231467,ENSG00000231467,7
ENSG00000232050,ENSG00000232050,2
ENSG00000232350,ENSG00000232350,5
ENSG00000232363,ENSG00000232363,8
ENSG00000232464,ENSG00000232464,2
ENSG00000232515,ENSG00000232515,2
ENSG00000232545,ENSG00000232545,6
ENSG00000232603,ENSG00000232603,3
ENSG00000232897,ENSG00000232897,10
ENSG00000233157,ENSG00000233157,3
ENSG00000233179,ENSG00000233179,3
ENSG00000233574,ENSG00000233574,1
ENSG00000233577,ENSG00000233577,20
ENSG00000233720,ENSG00000233720,1
ENSG00000233866,ENSG00000233866,2
ENSG00000233995,ENSG00000233995,19
ENSG00000234208,ENSG00000234208,41
ENSG00000234503,ENSG00000234503,1
ENSG00000234626,ENSG00000234626,6
ENSG00000234630,ENSG00000234630,3
ENSG00000234726,ENSG00000234726,19
ENSG00000234891,ENSG00000234891,2
ENSG00000234892,ENSG00000234892,5
ENSG00000234913,ENSG00000234913,21
ENSG00000234979,ENSG00000234979,15
ENSG00000235091,ENSG00000235091,17
ENSG00000235445,ENSG00000235445,1
ENSG00000236003,ENSG00000236003,47
ENSG00000236118,ENSG00000236118,4
ENSG00000236540,ENSG00000236540,248
ENSG00000236641,ENSG00000236641,3
ENSG00000236754,ENSG00000236754,7
ENSG00000236858,ENSG00000236858,7
ENSG00000236867,ENSG00000236867,14
ENSG00000236890,ENSG00000236890,7
ENSG00000237015,ENSG00000237015,8
ENSG00000237127,ENSG00000237127,14
ENSG00000237316,ENSG00000237316,2
ENSG00000237358,ENSG00000237358,2
ENSG00000237387,ENSG00000237387,3
ENSG00000237407,ENSG00000237407,2
ENSG00000237439,ENSG00000237439,11
ENSG00000237689,ENSG00000237689,8
ENSG00000237862,ENSG00000237862,40
ENSG00000238153,ENSG00000238153,1
ENSG00000238192,ENSG00000238192,6
ENSG00000238195,ENSG00000238195,7
ENSG00000240591,ENSG00000240591,73
ENSG00000241838,ENSG00000241838,172
ENSG00000241954,ENSG00000241954,53
ENSG00000249333,ENSG00000249333,9
ENSG00000250470,ENSG00000250470,2
ENSG00000252143,ENSG00000252143,1
ENSG00000254499,ENSG00000254499,2
ENSG00000259421,ENSG00000259421,47
ENSG00000260613,ENSG00000260613,50
ENSG00000267338,ENSG00000267338,5
ENSG00000268818,ENSG00000268818,8
ENSG00000270022,ENSG00000270022,105
ENSG00000270083,ENSG00000270083,51
ENSG00000271127,ENSG00000271127,2
ENSG00000272582,ENSG00000272582,10
ENSG00000272669,ENSG00000272669,372
ENSG00000272682,ENSG00000272682,2
ENSG00000272689,ENSG00000272689,19
ENSG00000272720,ENSG00000272720,8
ENSG00000272733,ENSG00000272733,8
ENSG00000272787,ENSG00000272787,13
ENSG00000272798,ENSG00000272798,1
ENSG00000272829,ENSG00000272829,318
ENSG00000272834,ENSG00000272834,6
ENSG00000272836,ENSG00000272836,11
ENSG00000272858,ENSG00000272858,78
ENSG00000272942,ENSG00000272942,56
ENSG00000272973,ENSG00000272973,56
ENSG00000272977,ENSG00000272977,43
ENSG00000273044,ENSG00000273044,4
ENSG00000273068,ENSG00000273068,6
ENSG00000273076,ENSG00000273076,372
ENSG00000273096,ENSG00000273096,9
ENSG00000273139,ENSG00000273139,102
ENSG00000273145,ENSG00000273145,582
ENSG00000273176,ENSG00000273176,128
ENSG00000273192,ENSG00000273192,4
ENSG00000273212,ENSG00000273212,1
ENSG00000273214,ENSG00000273214,10
ENSG00000273216,ENSG00000273216,2
ENSG00000273243,ENSG00000273243,3
ENSG00000273272,ENSG00000273272,1155
ENSG00000273287,ENSG00000273287,45
ENSG00000273295,ENSG00000273295,91
ENSG00000273342,ENSG00000273342,5
ENSG00000273343,ENSG00000273343,16
ENSG00000273350,ENSG00000273350,20
ENSG00000273353,ENSG00000273353,5
ENSG00000273387,ENSG00000273387,45
ENSG00000273424,ENSG00000273424,32
ENSG00000273428,ENSG00000273428,34
ENSG00000273442,ENSG00000273442,6
ENSG00000274381,ENSG00000274381,11
ENSG00000274422,ENSG00000274422,158
ENSG00000275361,ENSG00000275361,17
ENSG00000275656,ENSG00000275656,3
ENSG00000275772,ENSG00000275772,67
ENSG00000278655,ENSG00000278655,8
ENSG00000278657,ENSG00000278657,3
ENSG00000278667,ENSG00000278667,3
ENSG00000278869,ENSG00000278869,164
ENSG00000278881,ENSG00000278881,44
ENSG00000278890,ENSG00000278890,23
ENSG00000278920,ENSG00000278920,88
ENSG00000278948,ENSG00000278948,18
ENSG00000278960,ENSG00000278960,1
ENSG00000279006,ENSG00000279006,16
ENSG00000279080,ENSG00000279080,159
ENSG00000279085,ENSG00000279085,10
ENSG00000279110,ENSG00000279110,69
ENSG00000279175,ENSG00000279175,402
ENSG00000279182,ENSG00000279182,80
ENSG00000279217,ENSG00000279217,108
ENSG00000279278,ENSG00000279278,86
ENSG00000279298,ENSG00000279298,1
ENSG00000279345,ENSG00000279345,50
ENSG00000279440,ENSG00000279440,18
ENSG00000279442,ENSG00000279442,1
ENSG00000279467,ENSG00000279467,51
ENSG00000279494,ENSG00000279494,211
ENSG00000279548,ENSG00000279548,1
ENSG00000279597,ENSG00000279597,12
ENSG00000279642,ENSG00000279642,1
ENSG00000279652,ENSG00000279652,37
ENSG00000279699,ENSG00000279699,16
ENSG00000279712,ENSG00000279712,73
ENSG00000279714,ENSG00000279714,11
ENSG00000279738,ENSG00000279738,449
ENSG00000279805,ENSG00000279805,124
ENSG00000279833,ENSG00000279833,91
ENSG00000279848,ENSG00000279848,4
ENSG00000279914,ENSG00000279914,6
ENSG00000279927,ENSG00000279927,29
ENSG00000279933,ENSG00000279933,61
ENSG00000279954,ENSG00000279954,44
ENSG00000279973,ENSG00000279973,8
ENSG00000280007,ENSG00000280007,353
ENSG00000280011,ENSG00000280011,151
ENSG00000280025,ENSG00000280025,24
ENSG00000280199,ENSG00000280199,2
ENSG00000280216,ENSG00000280216,37
ENSG00000280224,ENSG00000280224,7
ENSG00000280312,ENSG00000280312,4
ENSG00000280341,ENSG00000280341,3
ENSG00000280356,ENSG00000280356,18
ENSG00000280383,ENSG00000280383,536
ENSG00000280384,ENSG00000280384,10
ENSG00000280395,ENSG00000280395,13
ENSG00000280418,ENSG00000280418,96
ENSG00000280424,ENSG00000280424,52
ENSG00000280434,ENSG00000280434,116
ENSG00000280445,ENSG00000280445,7
ENSG00000281530,ENSG00000281530,14
ENSG00000281538,ENSG00000281538,23
ENSG00000281732,ENSG00000281732,79
ENSG00000282012,ENSG00000282012,22
ENSG00000282041,ENSG00000282041,10
ENSG00000282602,ENSG00000282602,8
ENSG00000283535,ENSG00000283535,7
ENSG00000284070,ENSG00000284070,41
ENSG00000284294,ENSG00000284294,28
ENSG00000284431,ENSG00000284431,2
ENSG00000284633,ENSG00000284633,103
ENSG00000284665,ENSG00000284665,15
ENSG00000284874,ENSG00000284874,34
ENSG00000285045,ENSG00000285045,6
ENSG00000285314,ENSG00000285314,15
ENSG00000285531,ENSG00000285531,1087
ENSG00000285623,ENSG00000285623,11
ENSG00000285707,ENSG00000285707,13
ENSG00000285722,ENSG00000285722,20
ENSG00000285855,ENSG00000285855,2
ENSG00000285968,ENSG00000285968,20
ENSG00000286127,ENSG00000286127,7
ENSG00000286129,ENSG00000286129,168
ENSG00000286144,ENSG00000286144,11
ENSG00000286195,ENSG00000286195,8
ENSG00000286326,ENSG00000286326,54
ENSG00000286365,ENSG00000286365,4
ENSG00000286393,ENSG00000286393,55
ENSG00000286406,ENSG00000286406,1
ENSG00000286440,ENSG00000286440,12
ENSG00000286485,ENSG00000286485,16
ENSG00000286491,ENSG00000286491,4
ENSG00000286508,ENSG00000286508,82
ENSG00000286659,ENSG00000286659,15
ENSG00000286801,ENSG00000286801,22
ENSG00000286990,ENSG00000286990,3
ENSG00000287034,ENSG00000287034,8
ENSG00000287146,ENSG00000287146,14
ENSG00000287219,ENSG00000287219,4
ENSG00000287225,ENSG00000287225,28
ENSG00000287236,ENSG00000287236,21
ENSG00000287269,ENSG00000287269,553
ENSG00000287285,ENSG00000287285,1
ENSG00000287652,ENSG00000287652,23
ENSG00000287773,ENSG00000287773,10
ENSG00000287817,ENSG00000287817,192
ENSG00000287864,ENSG00000287864,13
ENSG00000287967,ENSG00000287967,15
ENSG00000287989,ENSG00000287989,163
ENSG00000288106,ENSG00000288106,157
ENSG00000288153,ENSG00000288153,1
ENSG00000288540,ENSG00000288540,22
ENSG00000288719,ENSG00000288719,425
ENSG00000288777,ENSG00000288777,11
ENSG00000288778,ENSG00000288778,197
ENSG00000288811,ENSG00000288811,38
ENSG00000288834,ENSG00000288834,8
ENSG00000288861,ENSG00000288861,208
ENSG00000288871,ENSG00000288871,43
ENSG00000289044,ENSG00000289044,3
ENSG00000289120,ENSG00000289120,154
ENSG00000289244,ENSG00000289244,35
ENSG00000289292,ENSG00000289292,22
ENSG00000289481,ENSG00000289481,10
ENSG00000289489,ENSG00000289489,6
ENSG00000289564,ENSG00000289564,310
ENSG00000289841,ENSG00000289841,62
ENSG00000289846,ENSG00000289846,2
ENSG00000289858,ENSG00000289858,979
ENSG00000289873,ENSG00000289873,5
ENSG00000289888,ENSG00000289888,275
ENSG00000289946,ENSG00000289946,8
ENSG00000289947,ENSG00000289947,1785
ENSG00000289960,ENSG00000289960,279
ENSG00000289963,ENSG00000289963,2324
ENSG00000290199,ENSG00000290199,418
ENSG00000290397,ENSG00000290397,38
ENSG00000290415,ENSG00000290415,1
ENSG00000290416,ENSG00000290416,11
ENSG00000290711,ENSG00000290711,21
ENSG00000290778,ENSG00000290778,83
ENSG00000290796,ENSG00000290796,45
ENSG00000290799,ENSG00000290799,7
ENSG00000290920,ENSG00000290920,54
ENSG00000290922,ENSG00000290922,320
ENSG00000290931,ENSG00000290931,1187
ENSG00000290950,ENSG00000290950,110
ENSG00000290981,ENSG00000290981,1328
ENSG00000290983,ENSG00000290983,32
ENSG00000290990,ENSG00000290990,67
ENSG00000291015,ENSG00000291015,2218
ENSG00000291044,ENSG00000291044,44
ENSG00000291064,ENSG00000291064,2460
ENSG00000293202,ENSG00000293202,3
ENSG00000293427,ENSG00000293427,138
ENSG00000293718,ENSG00000293718,6
ENSG00000293884,ENSG00000293884,16
ENSG00000294008,ENSG00000294008,243
ENSG00000294022,ENSG00000294022,1
ENSG00000294058,ENSG00000294058,10
ENSG00000294146,ENSG00000294146,144
ENSG00000294313,ENSG00000294313,50
ENSG00000294355,ENSG00000294355,1442
ENSG00000294412,ENSG00000294412,9
ENSG00000294461,ENSG00000294461,5
ENSG00000294472,ENSG00000294472,41
ENSG00000294480,ENSG00000294480,15
ENSG00000294483,ENSG00000294483,6
ENSG00000294512,ENSG00000294512,26670
ENSG00000294602,ENSG00000294602,2
ENSG00000294606,ENSG00000294606,6
ENSG00000294629,ENSG00000294629,10
ENSG00000294751,ENSG00000294751,2
ENSG00000294783,ENSG00000294783,243
ENSG00000294819,ENSG00000294819,27
ENSG00000294928,ENSG00000294928,21
ENSG00000294968,ENSG00000294968,199
ENSG00000295055,ENSG00000295055,16
ENSG00000295065,ENSG00000295065,4
ENSG00000295071,ENSG00000295071,4
ENSG00000295080,ENSG00000295080,11
ENSG00000295107,ENSG00000295107,25
ENSG00000295282,ENSG00000295282,7
ENSG00000295360,ENSG00000295360,11
ENSG00000295361,ENSG00000295361,21
ENSG00000295393,ENSG00000295393,12
ENSG00000295412,ENSG00000295412,19
ENSG00000295434,ENSG00000295434,15
ENSG00000295452,ENSG00000295452,5
ENSG00000295474,ENSG00000295474,1
ENSG00000295501,ENSG00000295501,17
ENSG00000295601,ENSG00000295601,26
ENSG00000295622,ENSG00000295622,1
ENSG00000295759,ENSG00000295759,2
ENSG00000295778,ENSG00000295778,30
ENSG00000295854,ENSG00000295854,6
ENSG00000295865,ENSG00000295865,7
ENSG00000295876,ENSG00000295876,6
ENSG00000295890,ENSG00000295890,3
ENSG00000296052,ENSG00000296052,13
ENSG00000296155,ENSG00000296155,3
ENSG00000296232,ENSG00000296232,5
ENSG00000296310,ENSG00000296310,3
ENSG00000296451,ENSG00000296451,672
ENSG00000296466,ENSG00000296466,4
ENSG00000296469,ENSG00000296469,223
ENSG00000296570,ENSG00000296570,6
ENSG00000296627,ENSG00000296627,9
ENSG00000296654,ENSG00000296654,17
ENSG00000296742,ENSG00000296742,5
ENSG00000296781,ENSG00000296781,10
ENSG00000296820,ENSG00000296820,11
ENSG00000296836,ENSG00000296836,12
ENSG00000296842,ENSG00000296842,16
ENSG00000296914,ENSG00000296914,7
ENSG00000297074,ENSG00000297074,11
ENSG00000297138,ENSG00000297138,4
ENSG00000297155,ENSG00000297155,44
ENSG00000297177,ENSG00000297177,287
ENSG00000297194,ENSG00000297194,6
ENSG00000297197,ENSG00000297197,18
ENSG00000297273,ENSG00000297273,3
ENSG00000297345,ENSG00000297345,8
ENSG00000297505,ENSG00000297505,4
ENSG00000297546,ENSG00000297546,4
ENSG00000297571,ENSG00000297571,12
ENSG00000297590,ENSG00000297590,36
ENSG00000297713,ENSG00000297713,7
ENSG00000297738,ENSG00000297738,6
ENSG00000297748,ENSG00000297748,100
ENSG00000297762,ENSG00000297762,21
ENSG00000297861,ENSG00000297861,3
ENSG00000297903,ENSG00000297903,2
ENSG00000298026,ENSG00000298026,12
ENSG00000298045,ENSG00000298045,11
ENSG00000298068,ENSG00000298068,5
ENSG00000298130,ENSG00000298130,5
ENSG00000298208,ENSG00000298208,2
ENSG00000298301,ENSG00000298301,4
ENSG00000298316,ENSG00000298316,3
ENSG00000298334,ENSG00000298334,10
ENSG00000298339,ENSG00000298339,39
ENSG00000298378,ENSG00000298378,2
ENSG00000298407,ENSG00000298407,8
ENSG00000298470,ENSG00000298470,44
ENSG00000298484,ENSG00000298484,128
ENSG00000298486,ENSG00000298486,15
ENSG00000298513,ENSG00000298513,37
ENSG00000298537,ENSG00000298537,13
ENSG00000298545,ENSG00000298545,2
ENSG00000298609,ENSG00000298609,24
ENSG00000298663,ENSG00000298663,5
ENSG00000298665,ENSG00000298665,34
ENSG00000298701,ENSG00000298701,49
ENSG00000298703,ENSG00000298703,26
ENSG00000298726,ENSG00000298726,12
ENSG00000298743,ENSG00000298743,9
ENSG00000298759,ENSG00000298759,18
ENSG00000298765,ENSG00000298765,28
ENSG00000298810,ENSG00000298810,37
ENSG00000298832,ENSG00000298832,28
ENSG00000298965,ENSG00000298965,30
ENSG00000299016,ENSG00000299016,6
ENSG00000299103,ENSG00000299103,11
ENSG00000299104,ENSG00000299104,5
ENSG00000299123,ENSG00000299123,11
ENSG00000299144,ENSG00000299144,82
ENSG00000299145,ENSG00000299145,8
ENSG00000299161,ENSG00000299161,35
ENSG00000299199,ENSG00000299199,36
ENSG00000299223,ENSG00000299223,14
ENSG00000299267,ENSG00000299267,4
ENSG00000299465,ENSG00000299465,6
ENSG00000299489,ENSG00000299489,2
ENSG00000299503,ENSG00000299503,3
ENSG00000299567,ENSG00000299567,6
ENSG00000299581,ENSG00000299581,28
ENSG00000299733,ENSG00000299733,12
ENSG00000299757,ENSG00000299757,14
ENSG00000299773,ENSG00000299773,5960
ENSG00000299784,ENSG00000299784,8
ENSG00000299801,ENSG00000299801,2
ENSG00000299803,ENSG00000299803,7
